region	fw	value
1	1	25
1	2	26
1	3	28
1	4	22
1	5	29
1	6	34
1	7	28
1	8	36
1	9	29
1	10	23
1	11	23
1	12	30
1	13	26
1	14	29
1	15	24
1	16	27
1	17	30
1	18	32
1	19	33
1	20	28
1	21	100
2	1	23
2	2	23
2	3	25
2	4	27
2	5	24
2	6	29
2	7	33
2	8	23
2	9	29
2	10	30
2	11	27
2	12	24
2	13	29
2	14	23
2	15	28
2	16	22
2	17	25
2	18	22
2	19	26
2	20	23
2	21	100
3	1	27
3	2	29
3	3	31
3	4	33
3	5	32
3	6	34
3	7	29
3	8	31
3	9	27
3	10	25
3	11	29
3	12	26
3	13	27
3	14	30
3	15	27
3	16	26
3	17	26
3	18	26
3	19	27
3	20	26
3	21	60
4	1	34
4	2	30
4	3	26
4	4	23
4	5	22
4	6	19
4	7	22
4	8	21
4	9	21
4	10	21
4	11	20
4	12	19
4	13	21
4	14	19
4	15	20
4	16	21
4	17	21
4	18	21
4	19	19
4	20	15
4	21	6
5	1	28
5	2	23
5	3	26
5	4	20
5	5	23
5	6	24
5	7	30
5	8	22
5	9	17
5	10	27
5	11	18
5	12	23
5	13	20
5	14	17
5	15	18
5	16	20
5	17	23
5	18	15
5	19	17
5	20	10
5	21	0
6	1	20
6	2	30
6	3	32
6	4	25
6	5	23
6	6	33
6	7	34
6	8	33
6	9	26
6	10	29
6	11	33
6	12	35
6	13	33
6	14	25
6	15	23
6	16	24
6	17	27
6	18	21
6	19	27
6	20	37
6	21	100
7	1	30
7	2	31
7	3	29
7	4	33
7	5	23
7	6	30
7	7	27
7	8	32
7	9	34
7	10	33
7	11	23
7	12	32
7	13	26
7	14	28
7	15	32
7	16	24
7	17	33
7	18	24
7	19	23
7	20	21
7	21	0
8	1	27
8	2	22
8	3	22
8	4	23
8	5	22
8	6	24
8	7	21
8	8	22
8	9	23
8	10	20
8	11	22
8	12	20
8	13	18
8	14	20
8	15	18
8	16	21
8	17	20
8	18	22
8	19	19
8	20	13
8	21	16
9	1	18
9	2	16
9	3	24
9	4	26
9	5	30
9	6	35
9	7	26
9	8	26
9	9	25
9	10	27
9	11	24
9	12	17
9	13	23
9	14	17
9	15	23
9	16	24
9	17	23
9	18	20
9	19	27
9	20	25
9	21	43
10	1	27
10	2	29
10	3	25
10	4	24
10	5	23
10	6	29
10	7	22
10	8	27
10	9	27
10	10	25
10	11	23
10	12	23
10	13	23
10	14	21
10	15	22
10	16	24
10	17	28
10	18	27
10	19	17
10	20	16
10	21	24
11	1	38
11	2	40
11	3	32
11	4	24
11	5	21
11	6	18
11	7	22
11	8	23
11	9	25
11	10	21
11	11	24
11	12	22
11	13	20
11	14	20
11	15	22
11	16	20
11	17	21
11	18	19
11	19	20
11	20	14
11	21	17
12	1	21
12	2	26
12	3	23
12	4	24
12	5	26
12	6	28
12	7	29
12	8	31
12	9	25
12	10	32
12	11	31
12	12	34
12	13	33
12	14	33
12	15	35
12	16	32
12	17	27
12	18	28
12	19	21
12	20	23
12	21	100
13	1	22
13	2	18
13	3	22
13	4	26
13	5	21
13	6	17
13	7	21
13	8	20
13	9	17
13	10	16
13	11	17
13	12	20
13	13	17
13	14	17
13	15	20
13	16	19
13	17	20
13	18	22
13	19	22
13	20	24
13	21	44
14	1	20
14	2	19
14	3	21
14	4	15
14	5	10
14	6	13
14	7	15
14	8	13
14	9	16
14	10	9
14	11	7
14	12	19
14	13	13
14	14	14
14	15	16
14	16	16
14	17	17
14	18	21
14	19	18
14	20	5
14	21	100
15	1	22
15	2	18
15	3	21
15	4	25
15	5	16
15	6	20
15	7	21
15	8	21
15	9	20
15	10	23
15	11	22
15	12	22
15	13	21
15	14	24
15	15	19
15	16	18
15	17	20
15	18	13
15	19	9
15	20	32
15	21	100
16	1	25
16	2	25
16	3	22
16	4	28
16	5	21
16	6	25
16	7	25
16	8	27
16	9	22
16	10	22
16	11	22
16	12	24
16	13	22
16	14	21
16	15	18
16	16	19
16	17	26
16	18	19
16	19	21
16	20	22
16	21	35
17	1	31
17	2	32
17	3	38
17	4	26
17	5	28
17	6	26
17	7	23
17	8	28
17	9	32
17	10	22
17	11	32
17	12	30
17	13	24
17	14	24
17	15	26
17	16	30
17	17	24
17	18	20
17	19	18
17	20	22
17	21	0
18	1	30
18	2	30
18	3	29
18	4	22
18	5	22
18	6	24
18	7	22
18	8	22
18	9	25
18	10	20
18	11	20
18	12	24
18	13	22
18	14	24
18	15	21
18	16	25
18	17	24
18	18	25
18	19	18
18	20	16
18	21	13
